Location,topBot,x,y,angle,Block
ATAG1,2,110.15,61.9,0,
ATAG1,2,47.65,61.9,0,
ATAG2,2,75.3,15,0,
ATAG2,2,12.8,15,0,
BTAG1,2,118,91,180,
BTAG1,2,55.5,91,180,
BTAG2,2,77,134.5,180,
BTAG2,2,14.5,134.5,180,
BTAG3,2,110.5,141,180,
BTAG3,2,48,141,180,
C1,2,82.8,57.85,90,
C1,2,20.3,57.85,90,
C2,2,77.3,54.25,90,
C2,2,14.8,54.25,90,
C3,2,74.5,58.9,180,
C3,2,12,58.9,180,
C4,2,74.85,54.25,90,
C4,2,12.35,54.25,90,
C5,2,74.05,55.95,270,
C5,2,11.55,55.95,270,
C6,2,74.05,57.65,90,
C6,2,11.55,57.65,90,
C7,2,74,51.15,90,
C7,2,11.5,51.15,90,
C8,2,85.85,106.95,90,
C8,2,23.35,106.95,90,
C9,2,108.6,117.35,0,
C9,2,46.1,117.35,0,
C10,2,90,20.7,0,
C10,2,27.5,20.7,0,
C13,2,104,35.75,180,
C13,2,41.5,35.75,180,
C14,2,93,116.55,180,
C14,2,30.5,116.55,180,
C16,2,111.55,52,90,
C16,2,49.05,52,90,
C17,2,115.8,49.05,0,
C17,2,53.3,49.05,0,
C22,2,106.2,30.25,270,
C22,2,43.7,30.25,270,
C23,2,84.25,113.35,270,
C23,2,21.75,113.35,270,
C26,2,102.8,109.8,180,
C26,2,40.3,109.8,180,
C27,2,100.75,44.65,0,
C27,2,38.25,44.65,0,
C28,2,90.15,8.75,0,
C28,2,27.65,8.75,0,
C29,2,94.15,19.8,270,
C29,2,31.65,19.8,270,
C30,2,100.5,9.05,0,
C30,2,38,9.05,0,
C31,2,100,111.8,0,
C31,2,37.5,111.8,0,
C32,2,100,109.8,180,
C32,2,37.5,109.8,180,
C33,2,101.1,46.9,270,
C33,2,38.6,46.9,270,
C34,2,95.4,43.3,90,
C34,2,32.9,43.3,90,
C35,2,87.3,58.7,270,
C35,2,24.8,58.7,270,
C36,2,89.15,41.6,180,
C36,2,26.65,41.6,180,
C37,2,104.1,56.8,90,
C37,2,41.6,56.8,90,
C38,2,77.2,97.05,180,
C38,2,14.7,97.05,180,
C39,2,97.2,117.85,90,
C39,2,34.7,117.85,90,
C40,2,82.75,52.85,90,
C40,2,20.25,52.85,90,
C42,2,86.5,117.25,270,
C42,2,24,117.25,270,
C43,2,85.75,21.4,180,
C43,2,23.25,21.4,180,
C45,2,98.2,23.15,90,
C45,2,35.7,23.15,90,
C46,2,109.85,54.3,90,
C46,2,47.35,54.3,90,
