Location,botottop,x,y,angle,BLOCK
ATAG1,2,12.25,5.62,180,
ATAG1,2,136.75,5.62,180,
ATAG2,2,117.45,11.87,180,
ATAG2,2,241.95,11.87,180,
BTAG1,2,4.5,124.5,0,
BTAG1,2,129,124.5,0,
BTAG2,2,120.25,127.75,0,
BTAG2,2,244.75,127.75,0,
C100,2,35.5,56.5,90,
C100,2,160,56.5,90,
C101,2,25.25,113.25,0,
C101,2,149.75,113.25,0,
C102,2,39.12,109.37,0,
C102,2,163.62,109.37,0,
C103,2,40.12,105.37,90,
C103,2,164.62,105.37,90,
C104,2,33.87,44.75,180,
C104,2,158.37,44.75,180,
C105,2,32.75,46.25,270,
C105,2,157.25,46.25,270,
C106,2,44,44.62,270,
C106,2,168.5,44.62,270,
C107,2,57,44.12,270,
C107,2,181.5,44.12,270,
C108,2,60.12,47.37,180,
C108,2,184.62,47.37,180,
C109,2,44,48.12,270,
C109,2,168.5,48.12,270,
C110,2,48.87,89.12,90,
C110,2,173.37,89.12,90,
C111,2,49,85.87,270,
C111,2,173.5,85.87,270,
C112,2,25.5,53.25,0,
C112,2,150,53.25,0,
C113,2,41.5,55.25,0,
C113,2,166,55.25,0,
C114,2,37.25,56.37,180,
C114,2,161.75,56.37,180,
C115,2,39.62,56.5,180,
C115,2,164.12,56.5,180,
C116,2,33.87,52.87,270,
C116,2,158.37,52.87,270,
C117,2,112.37,40.62,270,
C117,2,236.87,40.62,270,
C121,2,37.12,45.87,90,
C121,2,161.62,45.87,90,
C122,2,53.75,59.12,90,
C122,2,178.25,59.12,90,
C200,2,30.37,19.12,0,
C200,2,154.87,19.12,0,
C201,2,32.37,20,180,
C201,2,156.87,20,180,
C202,2,32.75,21.75,90,
C202,2,157.25,21.75,90,
C203,2,41.75,21.62,270,
C203,2,166.25,21.62,270,
C204,2,32.75,24.62,270,
C204,2,157.25,24.62,270,
C205,2,32.75,26.87,90,
C205,2,157.25,26.87,90,
C206,2,32.75,29,90,
C206,2,157.25,29,90,
C207,2,25.12,116.37,270,
C207,2,149.62,116.37,270,
C208,2,46.5,29.62,90,
C208,2,171,29.62,90,
C209,2,42.5,28.75,180,
C209,2,167,28.75,180,
C210,2,37.25,29,180,
C210,2,161.75,29,180,
C211,2,38.12,19.87,180,
C211,2,162.62,19.87,180,
C212,2,40.12,29,180,
C212,2,164.62,29,180,
C213,2,51.25,117.75,180,
C213,2,175.75,117.75,180,
C301,2,43.37,60,180,
C301,2,167.87,60,180,
C302,2,64.87,63.5,90,
C302,2,189.37,63.5,90,
C305,2,57,64.87,270,
C305,2,181.5,64.87,270,
C306,2,42.75,56.87,270,
C306,2,167.25,56.87,270,
C307,2,38.75,59.62,90,
C307,2,163.25,59.62,90,
C308,2,34.75,20.5,270,
C308,2,159.25,20.5,270,
C309,2,56.87,60.5,90,
C309,2,181.37,60.5,90,
C310,2,65.62,46.75,270,
C310,2,190.12,46.75,270,
C312,2,59.87,44.87,90,
C312,2,184.37,44.87,90,
C313,2,76.12,39.87,90,
C313,2,200.62,39.87,90,
C314,2,70.37,44.75,270,
C314,2,194.87,44.75,270,
C315,2,76,86.37,180,
C315,2,200.5,86.37,180,
C316,2,19,61.87,270,
C316,2,143.5,61.87,270,
C317,2,37.12,59.12,90,
C317,2,161.62,59.12,90,
C325,2,13,45.87,90,
C325,2,137.5,45.87,90,
C326,2,47.12,48,180,
C326,2,171.62,48,180,
C327,2,43.5,20.12,270,
C327,2,168,20.12,270,
C328,2,42.87,61.5,180,
C328,2,167.37,61.5,180,
C333,2,59.5,57.5,0,
C333,2,184,57.5,0,
C334,2,11.25,51.25,270,
C334,2,135.75,51.25,270,
C351,2,60.12,30.62,90,
C351,2,184.62,30.62,90,
C352,2,62.37,27.75,90,
C352,2,186.87,27.75,90,
C361,2,43.37,58.5,180,
C361,2,167.87,58.5,180,
C372,2,30.5,57.5,180,
C372,2,155,57.5,180,
C402,2,77.62,91.75,90,
C402,2,202.12,91.75,90,
C405,2,39.75,12.62,90,
C405,2,164.25,12.62,90,
C406,2,77.87,12.62,270,
C406,2,202.37,12.62,270,
C407,2,78,10.75,180,
C407,2,202.5,10.75,180,
C408,2,80.62,12.62,270,
C408,2,205.12,12.62,270,
C409,2,79,12.62,270,
