Location,top_bot,x,y,Theta
BMASK1,2,11.5,6.6,0
BMASK1,2,11.5,102.1,0
BMASK1,2,160,102.1,0
BMASK1,2,160,6.6,0
BMASK2,2,7.5,78.1,0
BMASK2,2,7.5,173.6,0
BMASK2,2,156,173.6,0
BMASK2,2,156,78.1,0
BMASK3,2,121.5,87.5,0
BMASK3,2,121.5,183,0
BMASK3,2,270,183,0
BMASK3,2,270,87.5,0
BMASK4,2,137.5,11.8,0
BMASK4,2,137.5,107.3,0
BMASK4,2,286,107.3,0
BMASK4,2,286,11.8,0
BTAG1,2,137.5,7.8,0
BTAG1,2,137.5,103.3,0
BTAG1,2,286,103.3,0
BTAG1,2,286,7.8,0
BTAG2,2,7.5,73.6,0
BTAG2,2,7.5,169.1,0
BTAG2,2,156,169.1,0
BTAG2,2,156,73.6,0
C102,2,131.4,74.5,270
C102,2,131.4,170,270
C102,2,279.9,170,270
C102,2,279.9,74.5,270
C201,2,122,82.6,90
C201,2,122,178.1,90
C201,2,270.5,178.1,90
C201,2,270.5,82.6,90
C202,2,123.5,75.6,90
C202,2,123.5,171.1,90
C202,2,272,171.1,90
C202,2,272,75.6,90
C211,2,107.4,63.5,270
C211,2,107.4,159,270
C211,2,255.9,159,270
C211,2,255.9,63.5,270
C212,2,112.5,64.5,90
C212,2,112.5,160,90
C212,2,261,160,90
C212,2,261,64.5,90
C213,2,114,50.1,90
C213,2,114,145.6,90
C213,2,262.5,145.6,90
C213,2,262.5,50.1,90
C214,2,115.9,60,90
C214,2,115.9,155.5,90
C214,2,264.4,155.5,90
C214,2,264.4,60,90
C215,2,125,54.1,270
C215,2,125,149.6,270
C215,2,273.5,149.6,270
C215,2,273.5,54.1,270
C216,2,121.7,65.6,270
C216,2,121.7,161.1,270
C216,2,270.2,161.1,270
C216,2,270.2,65.6,270
C217,2,120,61,270
C217,2,120,156.5,270
C217,2,268.5,156.5,270
C217,2,268.5,61,270
C218,2,117.4,65.6,90
C218,2,117.4,161.1,90
C218,2,265.9,161.1,90
C218,2,265.9,65.6,90
C219,2,120,65.6,90
C219,2,120,161.1,90
C219,2,268.5,161.1,90
C219,2,268.5,65.6,90
C501,2,68.1,85.4,90
C501,2,68.1,180.9,90
C501,2,216.6,180.9,90
C501,2,216.6,85.4,90
C502,2,60.1,86.3,90
C502,2,60.1,181.8,90
C502,2,208.6,181.8,90
C502,2,208.6,86.3,90
C503,2,58.3,86.8,90
C503,2,58.3,182.3,90
C503,2,206.8,182.3,90
C503,2,206.8,86.8,90
C571,2,141.9,59.2,270
C571,2,141.9,154.7,270
C571,2,290.4,154.7,270
C571,2,290.4,59.2,270
C572,2,135.4,63.25,270
C572,2,135.4,158.75,270
C572,2,283.9,158.75,270
C572,2,283.9,63.25,270
C601,2,71.6,54.7,270
C601,2,71.6,150.2,270
C601,2,220.1,150.2,270
C601,2,220.1,54.7,270
C603,2,67.8,35.5,270
C603,2,67.8,131,270
C603,2,216.3,131,270
